Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.
Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 5-6-7
t2,0-0,0,"______, ______, ______",4(2-1) BBCX,O,BOS,T. Nixon,J. Lieber,-2%,48%,Groundout: 2B-1B
t2,0-0,1,"______, ______, ______",4(1-2) SCBX,,BOS,K. Millar,J. Lieber,3%,50%,Single to RF (Line Drive)
t2,0-0,1,"K. Millar, ______, ______",1(0-0) X,,BOS,J. Varitek,J. Lieber,4%,54%,Single to 3B/Bunt; K. Millar to 2B
t2,0-0,1,"J. Varitek, K. Millar, ______",5(2-2) BSC*BX,,BOS,O. Cabrera,J. Lieber,6%,60%,Single to LF (Line Drive); K. Millar to 3B; J. Varitek to 2B
t2,0-0,1,"O. Cabrera, J. Varitek, K. Millar",5(0-2) FFFFX,OO,BOS,M. Bellhorn,J. Lieber,-15%,45%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,0 runs 3 hits 0 errors 2 LOB. Red Sox 0 Yankees 0.,0 runs 3 hits 0 errors 2 LOB. Red Sox 0 Yankees 0.,0 runs 3 hits 0 errors 2 LOB. Red Sox 0 Yankees 0.
Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 2nd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 4-5-6
b2,0-0,0,"______, ______, ______",5(2-2) CSBBX,O,NYY,H. Matsui,C. Schilling,2%,47%,Flyball: CF
b2,0-0,1,"______, ______, ______",3(2-0) BBX,O,NYY,B. Williams,C. Schilling,2%,49%,Popfly: 3B
b2,0-0,2,"______, ______, ______",4(2-1) BBFX,O,NYY,J. Posada,C. Schilling,1%,50%,Flyball: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.
Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3,Top of the 3rd Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 1-2-3
t3,0-0,0,"______, ______, ______",4(1-2) BCFX,,BOS,J. Damon,J. Lieber,4%,54%,Single to LF (Ground Ball)
t3,0-0,0,"J. Damon, ______, ______",3(1-1) B1F1X,OO,BOS,B. Mueller,J. Lieber,-8%,46%,Ground Ball Double Play: SS-1B
t3,0-0,2,"______, ______, ______",5(3-1) BCBBX,O,BOS,M. Ramirez,J. Lieber,-1%,44%,Flyball: RF
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Yankees 0.
Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 3rd Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 7-8-9
b3,0-0,0,"______, ______, ______",6(2-2) BFSBFS,O,NYY,R. Sierra,C. Schilling,3%,47%,Strikeout Swinging
b3,0-0,1,"______, ______, ______",3(1-1) BCX,O,NYY,T. Clark,C. Schilling,2%,49%,Flyball: LF
b3,0-0,2,"______, ______, ______",3(1-1) FBX,,NYY,M. Cairo,C. Schilling,-2%,46%,Ground-rule Double (Fly Ball to LF-CF)
b3,0-0,2,"______, M. Cairo, ______",3(1-1) *BSX,O,NYY,D. Jeter,C. Schilling,4%,50%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Yankees 0.
Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6,Top of the 4th Red Sox Batting Tied 0-0 Yankees' Jon Lieber facing 4-5-6
t4,0-0,0,"______, ______, ______",5(2-2) BCBCX,O,BOS,D. Ortiz,J. Lieber,-3%,47%,Groundout: C-1B
t4,0-0,1,"______, ______, ______",2(0-1) CX,O,BOS,T. Nixon,J. Lieber,-2%,45%,Groundout: 2B-1B
t4,0-0,2,"______, ______, ______",1(0-0) X,,BOS,K. Millar,J. Lieber,3%,48%,Double to LF (Fly Ball)
t4,0-0,2,"______, K. Millar, ______",3(0-2) CC*B,,BOS,J. Varitek,J. Lieber,1%,48%,Wild Pitch; K. Millar to 3B
t4,0-0,2,"______, ______, K. Millar",10(3-2) CC*B.FBBFFFX,R,BOS,J. Varitek,J. Lieber,11%,59%,Single to CF (Line Drive); K. Millar Scores
t4,1-0,2,"J. Varitek, ______, ______",1(0-0) X,,BOS,O. Cabrera,J. Lieber,2%,61%,Single to LF (Fly Ball); J. Varitek to 2B
t4,1-0,2,"O. Cabrera, J. Varitek, ______",5(1-2) BSFFX,RRR,BOS,M. Bellhorn,J. Lieber,24%,85%,Home Run (Fly Ball); J. Varitek Scores; O. Cabrera Scores
t4,4-0,2,"______, ______, ______",2(0-1) CX,O,BOS,J. Damon,J. Lieber,-1%,84%,Flyball: LF
,,,,,,,,,4 runs 4 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,4 runs 4 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,4 runs 4 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.
Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4,Bottom of the 4th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 2-3-4
b4,0-4,0,"______, ______, ______",1(0-0) X,,NYY,A. Rodriguez,C. Schilling,-3%,81%,Single to CF (Ground Ball)
b4,0-4,0,"A. Rodriguez, ______, ______",5(1-2) B1CC>FX,,NYY,G. Sheffield,C. Schilling,-6%,76%,Single to 3B (Ground Ball); A. Rodriguez to 2B
b4,0-4,0,"G. Sheffield, A. Rodriguez, ______",1(0-0) X,O,NYY,H. Matsui,C. Schilling,5%,81%,Foul Popfly: 1B (1B Foul)
b4,0-4,1,"G. Sheffield, A. Rodriguez, ______",4(1-2) FBCX,O,NYY,B. Williams,C. Schilling,3%,84%,Groundout: 1B-P; A. Rodriguez to 3B; G. Sheffield to 2B
b4,0-4,2,"______, G. Sheffield, A. Rodriguez",5(1-2) FFFBX,O,NYY,J. Posada,C. Schilling,5%,89%,Groundout: 1B unassisted
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Red Sox 4 Yankees 0.,0 runs 2 hits 0 errors 2 LOB. Red Sox 4 Yankees 0.,0 runs 2 hits 0 errors 2 LOB. Red Sox 4 Yankees 0.
Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4,Top of the 5th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 2-3-4
t5,4-0,0,"______, ______, ______",3(1-1) BFX,O,BOS,B. Mueller,J. Lieber,-1%,88%,Groundout: 1B-P
t5,4-0,1,"______, ______, ______",6(3-2) BBFBSX,O,BOS,M. Ramirez,J. Lieber,-1%,87%,Flyball: CF
t5,4-0,2,"______, ______, ______",1(0-0) X,O,BOS,D. Ortiz,J. Lieber,-0%,87%,Flyball: LF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.
Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 5th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 7-8-9
b5,0-4,0,"______, ______, ______",7(2-2) BBCFFFS,O,NYY,R. Sierra,C. Schilling,2%,89%,Strikeout Swinging
b5,0-4,1,"______, ______, ______",3(0-2) CFS,O,NYY,T. Clark,C. Schilling,1%,90%,Strikeout Swinging
b5,0-4,2,"______, ______, ______",3(1-1) BCX,O,NYY,M. Cairo,C. Schilling,1%,91%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.
Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7,Top of the 6th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 5-6-7
t6,4-0,0,"______, ______, ______",10(3-2) BBCFFFBFFC,O,BOS,T. Nixon,J. Lieber,-1%,90%,Strikeout Looking
t6,4-0,1,"______, ______, ______",4(2-1) CBBX,O,BOS,K. Millar,J. Lieber,-1%,90%,Groundout: 3B-1B
t6,4-0,2,"______, ______, ______",7(3-2) BBCCBFX,O,BOS,J. Varitek,J. Lieber,-0%,89%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.
Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 6th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 1-2-3
b6,0-4,0,"______, ______, ______",6(3-2) BBBCFX,O,NYY,D. Jeter,C. Schilling,2%,91%,Groundout: 2B-1B
b6,0-4,1,"______, ______, ______",3(1-1) BFX,O,NYY,A. Rodriguez,C. Schilling,1%,93%,Flyball: RF
b6,0-4,2,"______, ______, ______",5(2-2) CBFBX,O,NYY,G. Sheffield,C. Schilling,1%,94%,Flyball: LF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.
Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1,Top of the 7th Red Sox Batting Ahead 4-0 Yankees' Jon Lieber facing 8-9-1
t7,4-0,0,"______, ______, ______",3(1-1) BFX,O,BOS,O. Cabrera,J. Lieber,-1%,93%,Flyball: CF
t7,4-0,1,"______, ______, ______",2(0-1) CX,O,BOS,M. Bellhorn,J. Lieber,-0%,92%,Flyball: RF
t7,4-0,2,"______, ______, ______",3(1-1) CBX,O,BOS,J. Damon,J. Lieber,-0%,92%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Yankees 0.
Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6,Bottom of the 7th Yankees Batting Behind 0-4 Red Sox' Curt Schilling facing 4-5-6
b7,0-4,0,"______, ______, ______",5(2-2) BFCBX,O,NYY,H. Matsui,C. Schilling,2%,94%,Groundout: 1B unassisted
b7,0-4,1,"______, ______, ______",5(3-1) BBBCX,R,NYY,B. Williams,C. Schilling,-5%,89%,Home Run (Fly Ball)
b7,1-4,1,"______, ______, ______",5(2-2) BSFBX,O,NYY,J. Posada,C. Schilling,2%,91%,Popfly: 2B
b7,1-4,2,"______, ______, ______",3(0-2) SFS,O,NYY,R. Sierra,C. Schilling,1%,92%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 4 Yankees 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 4 Yankees 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 4 Yankees 1.
Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4,Top of the 8th Red Sox Batting Ahead 4-1 Yankees' Jon Lieber facing 2-3-4
t8,4-1,0,"______, ______, ______",4(1-2) CCBX,O,BOS,B. Mueller,J. Lieber,-1%,91%,Groundout: 1B unassisted
t8,4-1,1,"______, ______, ______",5(2-2) CBCBX,,BOS,M. Ramirez,J. Lieber,1%,92%,Single to RF (Fly Ball)
,,,,,,,,,Felix Heredia replaces Jon Lieber pitching,Felix Heredia replaces Jon Lieber pitching,Felix Heredia replaces Jon Lieber pitching
t8,4-1,1,"M. Ramirez, ______, ______",7(3-2) .SCFB*BB>X,O,BOS,D. Ortiz,F. Heredia,-1%,91%,Flyball: RF
,,,,,,,,,Paul Quantrill replaces Felix Heredia pitchingGabe Kapler pinch hits for Trot Nixon (RF) batting 5th,Paul Quantrill replaces Felix Heredia pitchingGabe Kapler pinch hits for Trot Nixon (RF) batting 5th,Paul Quantrill replaces Felix Heredia pitchingGabe Kapler pinch hits for Trot Nixon (RF) batting 5th
t8,4-1,2,"M. Ramirez, ______, ______",1(0-0) ..X,,BOS,G. Kapler,P. Quantrill,1%,92%,Single to SS (Ground Ball); M. Ramirez to 2B
t8,4-1,2,"G. Kapler, M. Ramirez, ______",7(3-2) BBCBF>F>X,O,BOS,K. Millar,P. Quantrill,-1%,90%,Groundout: SS-1B
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Red Sox 4 Yankees 1.,0 runs 2 hits 0 errors 2 LOB. Red Sox 4 Yankees 1.,0 runs 2 hits 0 errors 2 LOB. Red Sox 4 Yankees 1.
