Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 5-6-7
b2,0-1,0,"['', '', '']",2(1-0) BX,,ANA,T. Glaus,C. Schilling,-6%,49%,Double to LF (Line Drive)
b2,0-1,0,"['', 'Glaus', '']",2(1-0) BX,O,ANA,J. DaVanon,C. Schilling,5%,53%,Flyball: LF
b2,0-1,1,"['', 'Glaus', '']",3(1-1) BFX,O,ANA,B. Molina,C. Schilling,4%,57%,Groundout: 3B-1B
b2,0-1,2,"['', 'Glaus', '']",4(2-1) BCBX,O,ANA,D. Eckstein,C. Schilling,4%,61%,Flyball: RF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Angels 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Angels 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Angels 0.
Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 1-2-3
t3,1-0,0,"['', '', '']",8(1-2) CFBFFFFS,O,BOS,J. Damon,J. Washburn,-2%,59%,Strikeout Swinging
t3,1-0,1,"['', '', '']",5(2-2) FFBBX,O,BOS,M. Bellhorn,J. Washburn,-2%,57%,Groundout: 3B-1B
t3,1-0,2,"['', '', '']",5(1-2) FFFBC,O,BOS,M. Ramirez,J. Washburn,-1%,56%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 0.
Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 3rd Angels Batting Behind 0-1 Red Sox' Curt Schilling facing 9-1-2
b3,0-1,0,"['', '', '']",6(2-2) BCFBFS,O,ANA,A. Amezaga,C. Schilling,3%,59%,Strikeout Swinging
b3,0-1,1,"['', '', '']",4(2-1) BCBX,,ANA,C. Figgins,C. Schilling,-3%,56%,Single to LF (Line Drive)
b3,0-1,1,"['Figgins', '', '']",4(2-1) 1BCB>B,,ANA,D. Erstad,C. Schilling,-2%,54%,Figgins Steals 2B
b3,0-1,1,"['', 'Figgins', '']",6(3-2) 1BCB>B.FB,,ANA,D. Erstad,C. Schilling,-2%,51%,Walk
b3,0-1,1,"['Erstad', 'Figgins', '']",1(0-0) X,O,ANA,V. Guerrero,C. Schilling,5%,56%,Flyball: RF; Figgins to 3B
b3,0-1,2,"['Erstad', '', 'Figgins']",2(1-0) BX,O,ANA,G. Anderson,C. Schilling,6%,62%,Groundout: SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Angels 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Angels 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Angels 0.
Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Angels' Jarrod Washburn facing 4-5-6
t4,1-0,0,"['', '', '']",4(3-0) BBBB,,BOS,D. Ortiz,J. Washburn,4%,65%,Walk
t4,1-0,0,"['Ortiz', '', '']",2(0-1) FX,RR,BOS,K. Millar,J. Washburn,15%,81%,Home Run (Fly Ball); Ortiz Scores
t4,3-0,0,"['', '', '']",5(1-2) BCFFX,,BOS,J. Varitek,J. Washburn,2%,83%,Single to LF (Line Drive)
t4,3-0,0,"['Varitek', '', '']",5(3-1) B1CBBB,,BOS,O. Cabrera,J. Washburn,3%,86%,Walk; Varitek to 2B
t4,3-0,0,"['Cabrera', 'Varitek', '']",3(0-2) CFC,O,BOS,B. Mueller,J. Washburn,-3%,83%,Strikeout Looking
t4,3-0,1,"['Cabrera', 'Varitek', '']",2(0-1) CX,,BOS,G. Kapler,J. Washburn,3%,86%,Single to RF (Line Drive); Varitek to 3B; Cabrera to 2B
t4,3-0,1,"['Kapler', 'Cabrera', 'Varitek']",5(2-2) CBFBX,RR,BOS,J. Damon,J. Washburn,8%,94%,Reached on E5 (throw)/attempted forceout (Ground Ball); Varitek Scores/No RBI/unER; Cabrera Scores/unER; Kapler to 3B; Damon to 2B
,,,,,,,,,Scot Shields replaces Jarrod Washburn pitching,Scot Shields replaces Jarrod Washburn pitching,Scot Shields replaces Jarrod Washburn pitching
t4,5-0,1,"['', 'Damon', 'Kapler']",7(3-2) .CBBBSFT,O,BOS,M. Bellhorn,S. Shields,-2%,92%,Strikeout Swinging
t4,5-0,2,"['', 'Damon', 'Kapler']",2(1-0) BX,RRR,BOS,M. Ramirez,S. Shields,6%,98%,Home Run (Fly Ball); Kapler Scores/unER; Damon Scores/unER; Ramirez Scores/Team unER
t4,8-0,2,"['', '', '']",5(3-1) FBBBX,O,BOS,D. Ortiz,S. Shields,-0%,98%,Groundout: 2B-1B
