Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 2nd Astros Batting Behind 0-2 Braves' Russ Ortiz facing 5-6-7
b2,0-2,0,"______, ______, ______",2(0-1) FX,,HOU,J. Kent,R. Ortiz,-4%,62%,Single to LF (Line Drive)
b2,0-2,0,"J. Kent, ______, ______",2(0-1) C1X,,HOU,M. Ensberg,R. Ortiz,-6%,55%,Single to RF (Ground Ball); J. Kent to 2B
b2,0-2,0,"M. Ensberg, J. Kent, ______",3(0-2) FFX,O,HOU,J. Vizcaino,R. Ortiz,3%,59%,Groundout: 2B-SS/Forceout at 2B; J. Kent to 3B
b2,0-2,1,"J. Vizcaino, ______, J. Kent",5(3-1) B*BBCB,,HOU,B. Ausmus,R. Ortiz,-4%,55%,Walk; J. Vizcaino to 2B
b2,0-2,1,"B. Ausmus, J. Vizcaino, J. Kent",2(1-0) BX,RO,HOU,R. Clemens,R. Ortiz,2%,56%,Flyball: CF/Sacrifice Fly; J. Kent Scores
b2,1-2,2,"B. Ausmus, J. Vizcaino, ______",5(3-1) BBFBX,RRR,HOU,C. Biggio,R. Ortiz,-28%,28%,Home Run (Line Drive); J. Vizcaino Scores; B. Ausmus Scores
b2,4-2,2,"______, ______, ______",3(1-1) BFX,,HOU,C. Beltran,R. Ortiz,-2%,27%,Double to RF (Line Drive)
b2,4-2,2,"______, C. Beltran, ______",1(0-0) X,R,HOU,J. Bagwell,R. Ortiz,-7%,20%,Single to LF (Fly Ball); C. Beltran Scores
b2,5-2,2,"J. Bagwell, ______, ______",7(3-2) 11BBC*BC>F>S,O,HOU,L. Berkman,R. Ortiz,1%,21%,Strikeout Swinging
,,,,,,,,,5 runs 5 hits 0 errors 1 LOB. Braves 2 Astros 5.,5 runs 5 hits 0 errors 1 LOB. Braves 2 Astros 5.,5 runs 5 hits 0 errors 1 LOB. Braves 2 Astros 5.
Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 3rd Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3
t3,2-5,0,"______, ______, ______",4(1-2) CFBX,,ATL,R. Furcal,R. Clemens,4%,24%,Single to RF (Line Drive)
t3,2-5,0,"R. Furcal, ______, ______",4(1-2) S111>F111B>B,,ATL,J. Drew,R. Clemens,2%,26%,R. Furcal Steals 2B
t3,2-5,0,"______, R. Furcal, ______",6(3-2) S111>F111B>B.BB,,ATL,J. Drew,R. Clemens,4%,30%,Walk
t3,2-5,0,"J. Drew, R. Furcal, ______",5(2-2) CFBBS,O,ATL,M. Giles,R. Clemens,-5%,25%,Strikeout Swinging
t3,2-5,1,"J. Drew, R. Furcal, ______",2(0-1) CX,OO,ATL,C. Jones,R. Clemens,-8%,16%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 1 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 1 LOB. Braves 2 Astros 5.
Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7,Bottom of the 3rd Astros Batting Ahead 5-2 Braves' Russ Ortiz facing 5-6-7
b3,5-2,0,"______, ______, ______",3(2-0) BBX,O,HOU,J. Kent,R. Ortiz,1%,18%,Groundout: 2B-1B
b3,5-2,1,"______, ______, ______",4(2-1) BCBX,O,HOU,M. Ensberg,R. Ortiz,1%,18%,Groundout: 2B-1B
b3,5-2,2,"______, ______, ______",5(2-2) CBBSX,,HOU,J. Vizcaino,R. Ortiz,-1%,18%,Single to 2B (Ground Ball)
b3,5-2,2,"J. Vizcaino, ______, ______",3(2-0) 1BBX,O,HOU,B. Ausmus,R. Ortiz,1%,19%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 1 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 1 LOB. Braves 2 Astros 5.
Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7,Top of the 4th Braves Batting Behind 2-5 Astros' Roger Clemens facing 5-6-7
t4,2-5,0,"______, ______, ______",5(2-2) FFBBX,O,ATL,J. Estrada,R. Clemens,-2%,17%,Groundout: 2B-1B
t4,2-5,1,"______, ______, ______",4(1-2) FFBX,,ATL,A. Jones,R. Clemens,3%,19%,Single to RF (Line Drive)
t4,2-5,1,"A. Jones, ______, ______",5(2-2) BBTC+1>B,,ATL,A. LaRoche,R. Clemens,1%,20%,C. A. Jones Steals 2B
t4,2-5,1,"______, A. Jones, ______",6(3-2) BBTC+1>B.B,,ATL,A. LaRoche,R. Clemens,3%,23%,Walk
t4,2-5,1,"A. LaRoche, A. Jones, ______",7(2-2) SB*BSFFB,,ATL,E. Marrero,R. Clemens,4%,27%,Wild Pitch; C. A. Jones to 3B; A. LaRoche to 2B
t4,2-5,1,"______, A. LaRoche, A. Jones",8(3-2) SB*BSFFB.S,O,ATL,E. Marrero,R. Clemens,-7%,20%,Strikeout Swinging
,,,,,,,,,Dewayne Wise pinch hits for Russ Ortiz (P) batting 9th,Dewayne Wise pinch hits for Russ Ortiz (P) batting 9th,Dewayne Wise pinch hits for Russ Ortiz (P) batting 9th
t4,2-5,2,"______, A. LaRoche, A. Jones",6(3-2) .BBBCSX,O,ATL,D. Wise,R. Clemens,-6%,14%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 2 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 2 LOB. Braves 2 Astros 5.
Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2,Bottom of the 4th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 9-1-2
,,,,,,,,,Kevin Gryboski replaces Dewayne Wise (PH) pitching and batting 9th,Kevin Gryboski replaces Dewayne Wise (PH) pitching and batting 9th,Kevin Gryboski replaces Dewayne Wise (PH) pitching and batting 9th
b4,5-2,0,"______, ______, ______",6(2-2) .CBFBFX,O,HOU,R. Clemens,K. Gryboski,1%,15%,Groundout: 2B-1B
b4,5-2,1,"______, ______, ______",6(3-2) BCSBBX,O,HOU,C. Biggio,K. Gryboski,1%,16%,Popfly: SS
b4,5-2,2,"______, ______, ______",5(3-1) BBCBB,,HOU,C. Beltran,K. Gryboski,-1%,16%,Walk
b4,5-2,2,"C. Beltran, ______, ______",4(2-1) C1B1BX,O,HOU,J. Bagwell,K. Gryboski,1%,17%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Braves 2 Astros 5.,0 runs 0 hits 0 errors 1 LOB. Braves 2 Astros 5.,0 runs 0 hits 0 errors 1 LOB. Braves 2 Astros 5.
Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3,Top of the 5th Braves Batting Behind 2-5 Astros' Roger Clemens facing 1-2-3
t5,2-5,0,"______, ______, ______",4(1-2) CBSS,O,ATL,R. Furcal,R. Clemens,-2%,14%,Strikeout Swinging
t5,2-5,1,"______, ______, ______",6(3-2) BCBBFC,O,ATL,J. Drew,R. Clemens,-2%,13%,Strikeout Looking
t5,2-5,2,"______, ______, ______",1(0-0) X,O,ATL,M. Giles,R. Clemens,-1%,12%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 2 Astros 5.,0 runs 0 hits 0 errors 0 LOB. Braves 2 Astros 5.,0 runs 0 hits 0 errors 0 LOB. Braves 2 Astros 5.
Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6,Bottom of the 5th Astros Batting Ahead 5-2 Braves' Kevin Gryboski facing 4-5-6
b5,5-2,0,"______, ______, ______",2(0-1) FX,,HOU,L. Berkman,K. Gryboski,-1%,10%,Single to RF (Ground Ball)
b5,5-2,0,"L. Berkman, ______, ______",5(2-2) S1BBFS,O,HOU,J. Kent,K. Gryboski,1%,12%,Strikeout Swinging
b5,5-2,1,"L. Berkman, ______, ______",4(1-2) S*B>FX,OO,HOU,M. Ensberg,K. Gryboski,2%,14%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 0 LOB. Braves 2 Astros 5.,0 runs 1 hit 0 errors 0 LOB. Braves 2 Astros 5.
