Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3
Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Bottom of the 2nd Twins Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7
b2,1-0,0,"['', '', '']",6(3-2) BCBBCX,O,MIN,C. Koskie,J. Vazquez,2%,37%,Groundout: 3B-1B
b2,1-0,1,"['', '', '']",4(2-1) BCBH,,MIN,L. Ford,J. Vazquez,-2%,35%,Hit By Pitch
b2,1-0,1,"['Ford', '', '']",3(0-2) S11F11>B,,MIN,C. Guzman,J. Vazquez,-1%,33%,Ford Steals 2B
b2,1-0,1,"['', 'Ford', '']",4(1-2) S11F11>B.S,O,MIN,C. Guzman,J. Vazquez,3%,37%,Strikeout Swinging
b2,1-0,2,"['', 'Ford', '']",3(0-2) CSS,O,MIN,M. Cuddyer,J. Vazquez,3%,40%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Yankees 0 Twins 1.,0 runs 0 hits 0 errors 1 LOB. Yankees 0 Twins 1.,0 runs 0 hits 0 errors 1 LOB. Yankees 0 Twins 1.
Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3,Top of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 1-2-3
t3,0-1,0,"['', '', '']",5(1-2) FSBFX,,NYY,D. Jeter,J. Santana,4%,44%,Single to CF (Ground Ball)
t3,0-1,0,"['Jeter', '', '']",2(0-1) C1X,O,NYY,A. Rodriguez,J. Santana,-4%,40%,Flyball: CF
t3,0-1,1,"['Jeter', '', '']",3(0-2) F11F1X,O,NYY,G. Sheffield,J. Santana,-2%,37%,Groundout: 2B-1B; Jeter to 2B
t3,0-1,2,"['', 'Jeter', '']",5(3-1) BBCBX,R,NYY,H. Matsui,J. Santana,11%,48%,Single to RF (Ground Ball); Jeter Scores; Matsui to 2B/Adv on E2
t3,1-1,2,"['', 'Matsui', '']",3(1-1) C*BX,O,NYY,B. Williams,J. Santana,-4%,44%,Flyball: CF
,,,,,,,,,1 run 2 hits 1 error 1 LOB. Yankees 1 Twins 1.,1 run 2 hits 1 error 1 LOB. Yankees 1 Twins 1.,1 run 2 hits 1 error 1 LOB. Yankees 1 Twins 1.
Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 3rd Twins Batting Tied 1-1 Yankees' Javier Vazquez facing 9-1-2
b3,1-1,0,"['', '', '']",3(0-2) CCS,O,MIN,H. Blanco,J. Vazquez,3%,47%,Strikeout Swinging
b3,1-1,1,"['', '', '']",5(2-2) BBCCX,O,MIN,S. Stewart,J. Vazquez,2%,49%,Lineout: SS
b3,1-1,2,"['', '', '']",1(0-0) X,O,MIN,J. Jones,J. Vazquez,1%,50%,Flyball: LF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Yankees 1 Twins 1.,0 runs 0 hits 0 errors 0 LOB. Yankees 1 Twins 1.,0 runs 0 hits 0 errors 0 LOB. Yankees 1 Twins 1.
Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8,Top of the 4th Yankees Batting Tied 1-1 Twins' Johan Santana facing 6-7-8
t4,1-1,0,"['', '', '']",6(3-2) BFFBBS,O,NYY,J. Posada,J. Santana,-3%,47%,Strikeout Swinging
t4,1-1,1,"['', '', '']",2(0-1) CX,,NYY,R. Sierra,J. Santana,3%,50%,Single to LF (Line Drive)
t4,1-1,1,"['Sierra', '', '']",1(0-0) X,O,NYY,J. Olerud,J. Santana,-4%,47%,Groundout: 1B-SS/Forceout at 2B
t4,1-1,2,"['Olerud', '', '']",2(1-0) BX,,NYY,M. Cairo,J. Santana,2%,49%,Single to LF (Line Drive); Olerud to 2B
