Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b2,0-0,1,---,,O,BOS,E. Scott,L. Tyler,-1%,51%,Groundout: P-1B
b2,0-0,2,---,,,BOS,F. Thomas,L. Tyler,1%,52%,Walk
b2,0-0,2,1--,,O,BOS,W. Schang,L. Tyler,-2%,50%,Groundout: SS-2B/Forceout at 2B
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Cubs 0 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Cubs 0 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Cubs 0 Red Sox 0.
Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9,Top of the 3rd Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 7-8-9
t3,0-0,0,---,,O,CHC,C. Deal,C. Mays,2%,52%,Flyball: LF
t3,0-0,1,---,,O,CHC,B. Killefer,C. Mays,2%,54%,Groundout: SS-1B
t3,0-0,2,---,,O,CHC,L. Tyler,C. Mays,1%,55%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cubs 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Cubs 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Cubs 0 Red Sox 0.
Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2,Bottom of the 3rd Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 9-1-2
b3,0-0,0,---,,,BOS,C. Mays,L. Tyler,4%,59%,Walk
b3,0-0,0,1--,,O,BOS,H. Hooper,L. Tyler,-2%,58%,Bunt Groundout: P-1B/Sacrifice; Mays to 2B
b3,0-0,1,-2-,,,BOS,D. Shean,L. Tyler,2%,60%,Walk
b3,0-0,1,12-,,O,BOS,A. Strunk,L. Tyler,-3%,57%,Groundout: 2B-1B; Mays to 3B; Shean to 2B
b3,0-0,2,-23,,RR,BOS,G. Whiteman,L. Tyler,21%,78%,Reached on E9 (Line Drive); Mays Scores/unER/No RBI; Shean Scores/unER/No RBI; Whiteman to 1B
b3,2-0,2,1--,,O,BOS,S. McInnis,L. Tyler,-1%,76%,Single to SS; Whiteman out at 3B/SS-1B-3B
,,,,,,,,,2 runs 1 hit 1 error 1 LOB. Cubs 0 Red Sox 2.,2 runs 1 hit 1 error 1 LOB. Cubs 0 Red Sox 2.,2 runs 1 hit 1 error 1 LOB. Cubs 0 Red Sox 2.
Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3,Top of the 4th Cubs Batting Behind 0-2 Red Sox' Carl Mays facing 1-2-3
t4,0-2,0,---,,,CHC,M. Flack,C. Mays,-5%,72%,Single to CF
t4,0-2,0,1--,,O,CHC,C. Hollocher,C. Mays,2%,74%,Groundout: 1B unassisted; Flack to 2B
t4,0-2,1,-2-,,,CHC,L. Mann,C. Mays,-3%,71%,Hit By Pitch
t4,0-2,1,12-,,O,CHC,D. Paskert,C. Mays,7%,78%,Mann Picked off 1B (C-1B)
t4,0-2,2,-2-,,,CHC,D. Paskert,C. Mays,-1%,76%,Walk
t4,0-2,2,12-,,,CHC,F. Merkle,C. Mays,-1%,76%,Flack Steals 3B
t4,0-2,2,1-3,,R,CHC,F. Merkle,C. Mays,-11%,65%,Single to LF; Flack Scores; Paskert to 2B
t4,1-2,2,12-,,O,CHC,C. Pick,C. Mays,5%,70%,Lineout: RF
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Cubs 1 Red Sox 2.,1 run 2 hits 0 errors 2 LOB. Cubs 1 Red Sox 2.,1 run 2 hits 0 errors 2 LOB. Cubs 1 Red Sox 2.
Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8,Bottom of the 4th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 6-7-8
b4,2-1,0,---,,,BOS,E. Scott,L. Tyler,3%,74%,Single to 3B
b4,2-1,0,1--,,O,BOS,F. Thomas,L. Tyler,-1%,72%,Bunt Groundout: C-2B/Sacrifice; Scott to 2B
b4,2-1,1,-2-,,,BOS,W. Schang,L. Tyler,1%,74%,Walk
b4,2-1,1,12-,,,BOS,C. Mays,L. Tyler,5%,79%,Single/Bunt; Scott to 3B; Schang to 2B
b4,2-1,1,123,,O,BOS,H. Hooper,L. Tyler,-7%,73%,Groundout: 1B-C/Forceout at Hm; Schang to 3B; Mays to 2B
b4,2-1,2,123,,O,BOS,D. Shean,L. Tyler,-6%,66%,Groundout: 3B unassisted/Forceout at 3B
,,,,,,,,,0 runs 2 hits 0 errors 3 LOB. Cubs 1 Red Sox 2.,0 runs 2 hits 0 errors 3 LOB. Cubs 1 Red Sox 2.,0 runs 2 hits 0 errors 3 LOB. Cubs 1 Red Sox 2.
Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9,Top of the 5th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 7-8-9
t5,1-2,0,---,,O,CHC,C. Deal,C. Mays,3%,70%,Groundout: P-1B
