Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b2,1-1,1,---,,O,NYY,S. Kemp,B. Black,2%,49%,Groundout: 2B-1B
b2,1-1,2,---,,O,NYY,S. Balboni,B. Black,1%,50%,Foul Flyball: 3B
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Royals 1 Yankees 1.,1 run 1 hit 0 errors 0 LOB. Royals 1 Yankees 1.,1 run 1 hit 0 errors 0 LOB. Royals 1 Yankees 1.
Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4,Top of the 3rd Royals Batting Tied 1-1 Yankees' Shane Rawley facing 2-3-4
t3,1-1,0,---,,O,KCR,U. Washington,S. Rawley,-2%,48%,Groundout: 2B-1B
t3,1-1,1,---,,O,KCR,G. Brett,S. Rawley,-2%,46%,Flyball: LF
t3,1-1,2,---,,,KCR,H. McRae,S. Rawley,1%,47%,Walk
t3,1-1,2,1--,,O,KCR,A. Otis,S. Rawley,-3%,45%,Lineout: P
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Royals 1 Yankees 1.,0 runs 0 hits 0 errors 1 LOB. Royals 1 Yankees 1.,0 runs 0 hits 0 errors 1 LOB. Royals 1 Yankees 1.
Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1,Bottom of the 3rd Yankees Batting Tied 1-1 Royals' Buddy Black facing 8-9-1
b3,1-1,0,---,,O,NYY,R. Smalley,B. Black,2%,47%,Flyball: CF
b3,1-1,1,---,,O,NYY,R. Cerone,B. Black,2%,49%,Flyball: CF
b3,1-1,2,---,,,NYY,B. Campaneris,B. Black,-1%,47%,Single to CF
b3,1-1,2,1--,,O,NYY,G. Nettles,B. Black,3%,50%,Groundout: P-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Royals 1 Yankees 1.,0 runs 1 hit 0 errors 1 LOB. Royals 1 Yankees 1.,0 runs 1 hit 0 errors 1 LOB. Royals 1 Yankees 1.
Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8,Top of the 4th Royals Batting Tied 1-1 Yankees' Shane Rawley facing 6-7-8
t4,1-1,0,---,,,KCR,J. Wathan,S. Rawley,4%,54%,Single to CF
t4,1-1,0,1--,,O,KCR,L. Roberts,S. Rawley,2%,56%,Single to RF; Wathan to 3B; Roberts out at 2B/RF-3B-SS
t4,1-1,1,--3,,R,KCR,F. White,S. Rawley,7%,63%,Single to 3B; Wathan Scores
t4,2-1,1,1--,,,KCR,D. Slaught,S. Rawley,4%,67%,Single to LF; White to 2B
t4,2-1,1,12-,,O,KCR,W. Wilson,S. Rawley,-4%,62%,Strikeout
t4,2-1,2,12-,,O,KCR,U. Washington,S. Rawley,-4%,58%,Flyball: RF
,,,,,,,,,1 run 4 hits 0 errors 2 LOB. Royals 2 Yankees 1.,1 run 4 hits 0 errors 2 LOB. Royals 2 Yankees 1.,1 run 4 hits 0 errors 2 LOB. Royals 2 Yankees 1.
Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5,Bottom of the 4th Yankees Batting Behind 1-2 Royals' Buddy Black facing 3-4-5
b4,1-2,0,---,,O,NYY,L. Piniella,B. Black,3%,61%,Groundout: SS-1B
b4,1-2,1,---,,O,NYY,D. Baylor,B. Black,2%,63%,Groundout: 2B-1B
b4,1-2,2,---,,O,NYY,D. Winfield,B. Black,1%,64%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Royals 2 Yankees 1.,0 runs 0 hits 0 errors 0 LOB. Royals 2 Yankees 1.,0 runs 0 hits 0 errors 0 LOB. Royals 2 Yankees 1.
Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5,Top of the 5th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 3-4-5
t5,2-1,0,---,,O,KCR,G. Brett,S. Rawley,-2%,62%,Groundout: SS-1B
t5,2-1,1,---,,O,KCR,H. McRae,S. Rawley,-2%,60%,Flyball: CF
t5,2-1,2,---,,,KCR,A. Otis,S. Rawley,1%,62%,Single to CF
t5,2-1,2,1--,,O,KCR,J. Wathan,S. Rawley,-2%,59%,Flyball: 2B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Royals 2 Yankees 1.,0 runs 1 hit 0 errors 1 LOB. Royals 2 Yankees 1.,0 runs 1 hit 0 errors 1 LOB. Royals 2 Yankees 1.
Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8,Bottom of the 5th Yankees Batting Behind 1-2 Royals' Buddy Black facing 6-7-8
b5,1-2,0,---,,O,NYY,S. Kemp,B. Black,3%,63%,Flyball: LF
b5,1-2,1,---,,O,NYY,S. Balboni,B. Black,2%,65%,Strikeout
b5,1-2,2,---,,,NYY,R. Smalley,B. Black,-2%,63%,Single to CF
b5,1-2,2,1--,,O,NYY,R. Cerone,B. Black,4%,67%,Groundout: 3B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Royals 2 Yankees 1.,0 runs 1 hit 0 errors 1 LOB. Royals 2 Yankees 1.,0 runs 1 hit 0 errors 1 LOB. Royals 2 Yankees 1.
