Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 3rd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9
t3,0-0,0,---,,,PIT,D. Hoak,L. Burdette,-4%,46%,Single to 2B
t3,0-0,0,1--,,O,PIT,R. Mejias,L. Burdette,4%,50%,Groundout: 3B-2B/Forceout at 2B
t3,0-0,1,1--,,O,PIT,H. Haddix,L. Burdette,3%,53%,Single to P; Mejias out at 3B/SS-3B
t3,0-0,2,1--,,,PIT,D. Schofield,L. Burdette,-3%,50%,Single to RF; Haddix to 3B
t3,0-0,2,1-3,,O,PIT,B. Virdon,L. Burdette,5%,55%,Flyball: LF
,,,,,,,,,0 runs 3 hits 0 errors 2 LOB. Pirates 0 Braves 0.,0 runs 3 hits 0 errors 2 LOB. Pirates 0 Braves 0.,0 runs 3 hits 0 errors 2 LOB. Pirates 0 Braves 0.
Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 3rd Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9
b3,0-0,0,---,,O,MLN,A. Pafko,H. Haddix,-2%,53%,Flyball: RF
b3,0-0,1,---,,O,MLN,J. Logan,H. Haddix,-2%,51%,Lineout: SS
b3,0-0,2,---,,O,MLN,L. Burdette,H. Haddix,-1%,50%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5,Top of the 4th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 3-4-5
t4,0-0,0,---,,O,PIT,S. Burgess,L. Burdette,3%,53%,Lineout: CF
t4,0-0,1,---,,O,PIT,R. Nelson,L. Burdette,2%,55%,Groundout: 2B-1B
t4,0-0,2,---,,,PIT,B. Skinner,L. Burdette,-1%,53%,Single to CF (CF-RF)
t4,0-0,2,1--,,O,PIT,B. Mazeroski,L. Burdette,3%,56%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Pirates 0 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Pirates 0 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Pirates 0 Braves 0.
