Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 6-7-8
b2,0-1,0,---,2(0-1) CX,,STL,E. Renteria,J. Weaver,7%,51%,Double to CF (Fly Ball)
b2,0-1,0,-2-,1(0-0) X,,STL,R. Sanders,J. Weaver,7%,58%,Single to 2B/Bunt; Renteria to 3B
b2,0-1,0,1-3,4(2-1) SB1BX,O,STL,M. Matheny,J. Weaver,-7%,52%,Popfly: SS
b2,0-1,1,1-3,1(0-1) C1,R,STL,J. Marquis,J. Weaver,5%,57%,Sanders Picked off 1B safe on E1; Renteria Scores; Sanders to 2B
b2,1-1,1,-2-,4(1-2) C1.FBX,O,STL,J. Marquis,J. Weaver,-4%,53%,Foul Popfly: C (Behind Home)
b2,1-1,2,-2-,6(3-2) BBFBFX,R,STL,T. Womack,J. Weaver,11%,65%,Triple to RF (Line Drive); Sanders Scores
b2,2-1,2,--3,2(1-0) BX,R,STL,L. Walker,J. Weaver,9%,74%,Double to RF (Ground Ball); Womack Scores
b2,3-1,2,-2-,5(1-2) CFF*BB,,STL,A. Pujols,J. Weaver,0%,74%,Wild Pitch; Walker to 3B
b2,3-1,2,--3,8(3-2) CFF*BB.BFX,O,STL,A. Pujols,J. Weaver,-3%,71%,Groundout: SS-1B
,,,,,,,,,3 runs 4 hits 1 error 1 LOB. Dodgers 1 Cardinals 3.,3 runs 4 hits 1 error 1 LOB. Dodgers 1 Cardinals 3.,3 runs 4 hits 1 error 1 LOB. Dodgers 1 Cardinals 3.
Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2,Top of the 3rd Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 9-1-2
t3,1-3,0,---,6(2-2) CBFFBX,O,LAD,J. Weaver,J. Marquis,3%,74%,Groundout: SS-1B
t3,1-3,1,---,5(1-2) CFBFX,O,LAD,C. Izturis,J. Marquis,2%,75%,Foul Popfly: 3B (3B Foul)
t3,1-3,2,---,5(3-1) CBBBB,,LAD,J. Werth,J. Marquis,-1%,74%,Walk
t3,1-3,2,1--,4(3-0) BBBB,,LAD,S. Finley,J. Marquis,-2%,72%,Walk; Werth to 2B
t3,1-3,2,12-,3(1-1) CBX,O,LAD,A. Beltre,J. Marquis,5%,76%,Foul Popfly: 1B (1B Foul)
,,,,,,,,,0 runs 0 hits 0 errors 2 LOB. Dodgers 1 Cardinals 3.,0 runs 0 hits 0 errors 2 LOB. Dodgers 1 Cardinals 3.,0 runs 0 hits 0 errors 2 LOB. Dodgers 1 Cardinals 3.
Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6,Bottom of the 3rd Cardinals Batting Ahead 3-1 Dodgers' Jeff Weaver facing 4-5-6
b3,3-1,0,---,6(2-2) BCCBFX,O,STL,S. Rolen,J. Weaver,-2%,75%,Lineout: CF
b3,3-1,1,---,1(0-0) X,O,STL,J. Edmonds,J. Weaver,-1%,74%,Flyball: LF
b3,3-1,2,---,3(1-1) FBX,O,STL,E. Renteria,J. Weaver,-1%,73%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Dodgers 1 Cardinals 3.,0 runs 0 hits 0 errors 0 LOB. Dodgers 1 Cardinals 3.,0 runs 0 hits 0 errors 0 LOB. Dodgers 1 Cardinals 3.
Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7,Top of the 4th Dodgers Batting Behind 1-3 Cardinals' Jason Marquis facing 5-6-7
t4,1-3,0,---,6(3-2) CBBFBX,R,LAD,S. Green,J. Marquis,-11%,62%,Home Run (Fly Ball)
t4,2-3,0,---,8(3-2) FFBBBFFX,R,LAD,M. Bradley,J. Marquis,-12%,50%,Home Run (Fly Ball)
t4,3-3,0,---,1(0-0) X,O,LAD,A. Cora,J. Marquis,3%,53%,Flyball: LF
t4,3-3,1,---,5(3-1) BBBCB,,LAD,D. Ross,J. Marquis,-3%,50%,Walk
,,,,,,,,,Cal Eldred replaces Jason Marquis pitching and batting 9th,Cal Eldred replaces Jason Marquis pitching and batting 9th,Cal Eldred replaces Jason Marquis pitching and batting 9th
t4,3-3,1,1--,3(1-1) B.CX,O,LAD,J. Weaver,C. Eldred,3%,53%,Foul Bunt Popfly: 1B (1B Foul)
t4,3-3,2,1--,7(3-2) CB*BBS>F>B,,LAD,C. Izturis,C. Eldred,-2%,51%,Walk; Ross to 2B
t4,3-3,2,12-,5(3-1) BBBCB,,LAD,J. Werth,C. Eldred,-4%,47%,Walk; Ross to 3B; Izturis to 2B
t4,3-3,2,123,6(3-2) BB*BCS>X,O,LAD,S. Finley,C. Eldred,9%,56%,Flyball: CF
,,,,,,,,,2 runs 2 hits 0 errors 3 LOB. Dodgers 3 Cardinals 3.,2 runs 2 hits 0 errors 3 LOB. Dodgers 3 Cardinals 3.,2 runs 2 hits 0 errors 3 LOB. Dodgers 3 Cardinals 3.
Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9,Bottom of the 4th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 7-8-9
b4,3-3,0,---,6(2-2) FBSBFX,,STL,R. Sanders,J. Weaver,4%,60%,Single to SS (Ground Ball)
b4,3-3,0,1--,1(0-0) X,O,STL,M. Matheny,J. Weaver,-2%,58%,Bunt Groundout: P-2B/Sacrifice; Sanders to 2B
,,,,,,,,,Marlon Anderson pinch hits for Cal Eldred (P) batting 9th,Marlon Anderson pinch hits for Cal Eldred (P) batting 9th,Marlon Anderson pinch hits for Cal Eldred (P) batting 9th
b4,3-3,1,-2-,3(0-2) .SCS,O,STL,M. Anderson,J. Weaver,-4%,54%,Strikeout Swinging
