Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3
Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8,Bottom of the 2nd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 6-7-8
b2,0-1,0,---,4(1-2) CCBX,O,STL,R. Sanders,P. Martinez,3%,58%,Flyball: LF
b2,0-1,1,---,5(3-1) BSBBX,O,STL,T. Womack,P. Martinez,2%,60%,Groundout: 2B-1B
b2,0-1,2,---,5(1-2) CCBFS,O,STL,M. Matheny,P. Martinez,1%,61%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Cardinals 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Cardinals 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Cardinals 0.
Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2,Top of the 3rd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 9-1-2
t3,1-0,0,---,4(1-2) CBCC,O,BOS,P. Martinez,J. Suppan,-2%,59%,Strikeout Looking
t3,1-0,1,---,2(0-1) CX,O,BOS,J. Damon,J. Suppan,-2%,57%,Groundout: 2B-1B
t3,1-0,2,---,6(3-2) CBFBB*B,,BOS,O. Cabrera,J. Suppan,1%,59%,Walk
t3,1-0,2,1--,4(1-2) BCS1X,O,BOS,M. Ramirez,J. Suppan,-2%,56%,Flyball: RF
