Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b2,0-0,0,---,1(0-0) X,,NYY,J. Posada,J. Santana,-4%,41%,Single to 3B (Ground Ball)
b2,0-0,0,1--,2(1-0) BX,,NYY,H. Matsui,J. Santana,-5%,36%,Single to CF (Line Drive); Posada to 2B
b2,0-0,0,12-,5(1-2) CBSFX,O,NYY,R. Sierra,J. Santana,3%,38%,Flyball: LF; Posada to 3B
b2,0-0,1,1-3,3(0-2) 1FCX,OO,NYY,J. Olerud,J. Santana,12%,50%,Fly Ball Double Play: CF; Posada out at Hm/CF-C
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Twins 0 Yankees 0.,0 runs 2 hits 0 errors 1 LOB. Twins 0 Yankees 0.,0 runs 2 hits 0 errors 1 LOB. Twins 0 Yankees 0.
Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1,Top of the 3rd Twins Batting Tied 0-0 Yankees' Mike Mussina facing 8-9-1
t3,0-0,0,---,4(2-1) BFBX,,MIN,M. Cuddyer,M. Mussina,4%,54%,Single to RF (Line Drive)
t3,0-0,0,1--,1(0-0) 11X,O,MIN,H. Blanco,M. Mussina,-2%,52%,Bunt Groundout: P-2B/Sacrifice; Cuddyer to 2B
t3,0-0,1,-2-,2(0-1) FX,R,MIN,S. Stewart,M. Mussina,9%,61%,Single to LF (Fly Ball); Cuddyer Scores
t3,1-0,1,1--,3(0-2) 11CFX,OO,MIN,J. Jones,M. Mussina,-5%,56%,Ground Ball Double Play: 2B-SS-1B
