Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b2,0-1,1,---,2(0-1) SX,,ATL,A. LaRoche,R. Oswalt,3%,45%,Single to CF (Line Drive)
b2,0-1,1,1--,4(1-2) CF*BX,O,ATL,A. Jones,R. Oswalt,-3%,42%,Flyball: CF
b2,0-1,2,1--,3(0-2) FSX,O,ATL,C. Thomas,R. Oswalt,-3%,39%,Groundout: SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.
Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1,Top of the 3rd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 8-9-1
t3,1-0,0,---,1(0-0) X,R,HOU,R. Chavez,M. Hampton,-10%,29%,Home Run (Fly Ball to LF-CF)
t3,2-0,0,---,4(2-1) BCBX,O,HOU,R. Oswalt,M. Hampton,2%,31%,Groundout: SS-1B
t3,2-0,1,---,4(3-0) BBBB,,HOU,C. Biggio,M. Hampton,-2%,29%,Walk
t3,2-0,1,1--,5(2-2) 1BBFFC,O,HOU,C. Beltran,M. Hampton,2%,31%,Strikeout Looking
t3,2-0,2,1--,7(3-2) B1BCFFB>S,O,HOU,J. Bagwell,M. Hampton,2%,33%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 1 LOB. Astros 2 Braves 0.,1 run 1 hit 0 errors 1 LOB. Astros 2 Braves 0.,1 run 1 hit 0 errors 1 LOB. Astros 2 Braves 0.
Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2,Bottom of the 3rd Braves Batting Behind 0-2 Astros' Roy Oswalt facing 9-1-2
b3,0-2,0,---,5(1-2) BSCFX,,ATL,M. Hampton,R. Oswalt,4%,37%,Single to CF (Line Drive)
b3,0-2,0,1--,3(1-1) LBX,O,ATL,R. Furcal,R. Oswalt,-4%,33%,Popfly: SS
b3,0-2,1,1--,3(1-1) BSX,,ATL,M. Giles,R. Oswalt,4%,38%,Single to LF (Line Drive); Hampton to 2B
b3,0-2,1,12-,6(3-2) SB*BSBS,O,ATL,J. Drew,R. Oswalt,-5%,32%,Strikeout Swinging
b3,0-2,2,12-,5(2-2) CBSBX,O,ATL,C. Jones,R. Oswalt,-5%,27%,Groundout: 2B-1B
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Astros 2 Braves 0.,0 runs 2 hits 0 errors 2 LOB. Astros 2 Braves 0.,0 runs 2 hits 0 errors 2 LOB. Astros 2 Braves 0.
Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6,Top of the 4th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 4-5-6
t4,2-0,0,---,4(1-2) CFBS,O,HOU,L. Berkman,M. Hampton,2%,29%,Strikeout Swinging
t4,2-0,1,---,1(0-0) X,O,HOU,J. Kent,M. Hampton,1%,30%,Groundout: 3B-1B
t4,2-0,2,---,5(3-1) FBBBB,,HOU,M. Ensberg,M. Hampton,-1%,29%,Walk
t4,2-0,2,1--,2(1-0) 1BX,O,HOU,J. Vizcaino,M. Hampton,2%,31%,Groundout: 2B-SS/Forceout at 2B
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Astros 2 Braves 0.,0 runs 0 hits 0 errors 1 LOB. Astros 2 Braves 0.,0 runs 0 hits 0 errors 1 LOB. Astros 2 Braves 0.
Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7,Bottom of the 4th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 5-6-7
b4,0-2,0,---,1(0-0) X,O,ATL,J. Estrada,R. Oswalt,-3%,28%,Groundout: 1B unassisted
b4,0-2,1,---,4(1-2) BCFS,O,ATL,A. LaRoche,R. Oswalt,-2%,26%,Strikeout Swinging (C-1B)
b4,0-2,2,---,1(0-0) X,,ATL,A. Jones,R. Oswalt,2%,28%,Single to CF (Line Drive)
b4,0-2,2,1--,2(0-1) C1X,O,ATL,C. Thomas,R. Oswalt,-3%,25%,Groundout: P-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Astros 2 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 2 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 2 Braves 0.
