Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Angels Batting Behind 0-1 Red Sox' Pedro Martinez facing 5-6-7
b2,0-1,0,---,6(3-2) BCCBBB,,ANA,T. Glaus,P. Martinez,-4%,51%,Walk
b2,0-1,0,1--,4(1-2) FBSX,,ANA,J. DaVanon,P. Martinez,-6%,45%,Single to LF (Ground Ball); Glaus to 2B
b2,0-1,0,12-,6(1-2) SSFFBX,R,ANA,D. McPherson,P. Martinez,-10%,36%,Single to LF (Line Drive); Glaus Scores; DaVanon to 2B
b2,1-1,0,12-,1(0-0) X,O,ANA,J. Molina,P. Martinez,5%,41%,Bunt Groundout: P-3B/Forceout at 3B; McPherson to 2B
b2,1-1,1,12-,4(2-1) BBCX,O,ANA,D. Eckstein,P. Martinez,5%,46%,Flyball: CF
b2,1-1,2,12-,5(1-2) FCBFS,O,ANA,C. Figgins,P. Martinez,4%,50%,Strikeout Swinging
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Red Sox 1 Angels 1.,1 run 2 hits 0 errors 2 LOB. Red Sox 1 Angels 1.,1 run 2 hits 0 errors 2 LOB. Red Sox 1 Angels 1.
Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6,Top of the 3rd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 4-5-6
t3,1-1,0,---,3(1-1) CBX,O,BOS,D. Ortiz,B. Colon,-3%,47%,Flyball: CF
t3,1-1,1,---,1(0-0) X,O,BOS,T. Nixon,B. Colon,-2%,46%,Flyball: LF
t3,1-1,2,---,8(3-2) BBFFFFBX,O,BOS,K. Millar,B. Colon,-1%,44%,Lineout: SS
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.
Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4,Bottom of the 3rd Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 2-3-4
b3,1-1,0,---,3(0-2) CSX,O,ANA,D. Erstad,P. Martinez,3%,47%,Flyball: LF
b3,1-1,1,---,3(1-1) BFX,O,ANA,V. Guerrero,P. Martinez,2%,49%,Flyball: CF
b3,1-1,2,---,4(2-1) BCBX,O,ANA,G. Anderson,P. Martinez,1%,50%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.
Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 4th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9
t4,1-1,0,---,5(0-2) CFFFS,O,BOS,J. Varitek,B. Colon,-3%,47%,Strikeout Swinging
t4,1-1,1,---,6(2-2) BCFFBX,O,BOS,O. Cabrera,B. Colon,-2%,45%,Flyball: RF
t4,1-1,2,---,6(1-2) FBFFFX,O,BOS,B. Mueller,B. Colon,-1%,44%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.
Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 4th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7
b4,1-1,0,---,4(1-2) CFBC,O,ANA,T. Glaus,P. Martinez,3%,47%,Strikeout Looking
b4,1-1,1,---,4(2-1) BBCX,,ANA,J. DaVanon,P. Martinez,-3%,44%,Single to CF (Fly Ball)
b4,1-1,1,1--,4(1-2) SBS>T,OO,ANA,D. McPherson,P. Martinez,6%,50%,Double Play: Strikeout Swinging DaVanon Caught Stealing 2B (C-SS)
