Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9
b2,2-0,0,---,6(2-2) CBCFBX,O,NYY,J. Olerud,C. Schilling,-2%,72%,Groundout: 2B-1B
b2,2-0,1,---,1(0-0) X,O,NYY,M. Cairo,C. Schilling,-1%,71%,Flyball: LF
b2,2-0,2,---,3(0-2) CFS,O,NYY,K. Lofton,C. Schilling,-1%,70%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 2.
Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9,Top of the 3rd Red Sox Batting Behind 0-2 Yankees' Mike Mussina facing 7-8-9
t3,0-2,0,---,5(3-1) CBBBX,O,BOS,J. Varitek,M. Mussina,3%,73%,Flyball: LF
t3,0-2,1,---,3(1-1) CBX,O,BOS,O. Cabrera,M. Mussina,2%,75%,Foul Popfly: 1B (1B Foul)
t3,0-2,2,---,4(1-2) CCBX,O,BOS,B. Mueller,M. Mussina,1%,76%,Popfly: SS
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 2.
Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 3rd Yankees Batting Ahead 2-0 Red Sox' Curt Schilling facing 1-2-3
b3,2-0,0,---,2(1-0) BX,,NYY,D. Jeter,C. Schilling,2%,78%,Single to CF (Line Drive)
b3,2-0,0,1--,2(0-1) TX,,NYY,A. Rodriguez,C. Schilling,4%,82%,Single to SS (Ground Ball); Jeter to 2B
b3,2-0,0,12-,7(3-2) CBB*BC>F>B,,NYY,G. Sheffield,C. Schilling,4%,86%,Walk; Jeter to 3B; Rodriguez to 2B
b3,2-0,0,123,1(0-0) X,RRR,NYY,H. Matsui,C. Schilling,8%,94%,Double to RF (Line Drive); Jeter Scores; Rodriguez Scores; Sheffield Scores
b3,5-0,0,-2-,4(2-1) BBFX,O,NYY,B. Williams,C. Schilling,-0%,94%,Groundout: 2B-1B; Matsui to 3B
b3,5-0,1,--3,2(0-1) CX,RO,NYY,J. Posada,C. Schilling,1%,95%,Flyball: CF/Sacrifice Fly; Matsui Scores
b3,6-0,2,---,4(3-0) BBBB,,NYY,J. Olerud,C. Schilling,0%,95%,Walk
b3,6-0,2,1--,5(2-2) BBSFX,O,NYY,M. Cairo,C. Schilling,-0%,95%,Flyball: CF
,,,,,,,,,4 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 6.,4 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 6.,4 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 6.
Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3,Top of the 4th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 1-2-3
t4,0-6,0,---,6(3-2) BFFBBC,O,BOS,J. Damon,M. Mussina,1%,95%,Strikeout Looking
t4,0-6,1,---,6(3-2) BCBBFC,O,BOS,M. Bellhorn,M. Mussina,1%,96%,Strikeout Looking
t4,0-6,2,---,4(1-2) FBCC,O,BOS,M. Ramirez,M. Mussina,0%,96%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.
